MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
The Firm,,"Drama, Mystery, Thriller",6.8,"
A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.","Director:
Sydney Pollack
| 
    Stars:
Tom Cruise, 
Jeanne Tripplehorn, 
Gene Hackman, 
Hal Holbrook",,154.0,
The Clovehitch Killer,,"Crime, Drama, Mystery",6.6,"
A picture-perfect family is shattered when the work of a serial killer hits too close to home.","Director:
Duncan Skiles
| 
    Stars:
Dylan McDermott, 
Charlie Plummer, 
Samantha Mathis, 
Madisen Beaty",,109.0,
Death Wish,,"Action, Crime, Drama",6.3,"
Dr. Paul Kersey is an experienced trauma surgeon, a man who has spent his life saving lives. After an attack on his family, Paul embarks on his own mission for justice.","Director:
Eli Roth
| 
    Stars:
Bruce Willis, 
Vincent D'Onofrio, 
Elisabeth Shue, 
Camila Morrone",,107.0,
The Blues Brothers,,"Action, Adventure, Comedy",7.9,"
Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised.","Director:
John Landis
| 
    Stars:
John Belushi, 
Dan Aykroyd, 
Cab Calloway, 
John Candy",,133.0,
Unknown,,"Action, Mystery, Thriller",6.8,"
When a man awakens from a coma only to discover that someone has taken on his identity, he teams up with a young woman to prove who he is.","Director:
Jaume Collet-Serra
| 
    Stars:
Liam Neeson, 
Diane Kruger, 
January Jones, 
Aidan Quinn",,113.0,
Hunt for the Wilderpeople,,"Adventure, Comedy, Drama",7.9,"
A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.","Director:
Taika Waititi
| 
    Stars:
Sam Neill, 
Julian Dennison, 
Rima Te Wiata, 
Rachel House",,101.0,
Monty Python and the Holy Grail,,"Adventure, Comedy, Fantasy",8.2,"
King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","Directors:
Terry Gilliam, 
Terry Jones
| 
    Stars:
Graham Chapman, 
John Cleese, 
Eric Idle, 
Terry Gilliam",,91.0,
The Best of Enemies,,"Biography, Drama, History",7.2,"
Civil rights activist Ann Atwater faces off against C.P. Ellis, Exalted Cyclops of the Ku Klux Klan, in 1971 Durham, North Carolina over the issue of school integration.","Director:
Robin Bissell
| 
    Stars:
Taraji P. Henson, 
Sam Rockwell, 
Babou Ceesay, 
Anne Heche",,133.0,
Atomic Blonde,,"Action, Thriller",6.7,"
An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.","Director:
David Leitch
| 
    Stars:
Charlize Theron, 
James McAvoy, 
John Goodman, 
Eddie Marsan",,115.0,
Rango,,"Animation, Adventure, Comedy",7.2,"
Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff.","Director:
Gore Verbinski
| 
    Stars:
Johnny Depp, 
Isla Fisher, 
Timothy Olyphant, 
Abigail Breslin",,107.0,
The Lucky One,,"Drama, Mystery, Romance",6.5,"
A Marine travels to Louisiana after serving three tours in Iraq and searches for the unknown woman he believes was his good luck charm during the war.","Director:
Scott Hicks
| 
    Stars:
Zac Efron, 
Taylor Schilling, 
Blythe Danner, 
Riley Thomas Stewart",,101.0,
Spy Kids,,"Action, Adventure, Comedy",5.5,"
Using high tech gadgets, two kids have to save their reactivated OSS top spy parents when they're taken by an evil, high tech enemy.","Director:
Robert Rodriguez
| 
    Stars:
Alexa PenaVega, 
Daryl Sabara, 
Antonio Banderas, 
Carla Gugino",,88.0,
White House Down,,"Action, Drama, Thriller",6.3,"
While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders.","Director:
Roland Emmerich
| 
    Stars:
Channing Tatum, 
Jamie Foxx, 
Maggie Gyllenhaal, 
Jason Clarke",,131.0,
The Human Centipede (First Sequence),,Horror,4.4,"
A mad scientist kidnaps and mutilates a trio of tourists in order to reassemble them into a human centipede, created by stitching their mouths to each others' rectums.","Director:
Tom Six
| 
    Stars:
Dieter Laser, 
Ashley C. Williams, 
Ashlynn Yennie, 
Akihiro Kitamura",,92.0,
Cars 3,,"Animation, Adventure, Comedy",6.7,"
Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.","Director:
Brian Fee
| 
    Stars:
Owen Wilson, 
Cristela Alonzo, 
Chris Cooper, 
Nathan Fillion",,102.0,
Southpaw,,"Action, Crime, Drama",7.4,"
After a fatal incident sends him on a rampant path of destruction, a champion boxer fights to get custody of his daughter and revive his professional career.","Director:
Antoine Fuqua
| 
    Stars:
Jake Gyllenhaal, 
Rachel McAdams, 
Oona Laurence, 
Forest Whitaker",,124.0,
The A-Team,,"Action, Adventure, Thriller",6.7,"
A group of Iraq War veterans look to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed.","Director:
Joe Carnahan
| 
    Stars:
Liam Neeson, 
Bradley Cooper, 
Sharlto Copley, 
Jessica Biel",,117.0,
This Means War,,"Action, Comedy, Romance",6.3,"
C.I.A. operatives wage an epic battle on each other when they discover they are dating the same woman.","Director:
McG
| 
    Stars:
Reese Witherspoon, 
Chris Pine, 
Tom Hardy, 
Til Schweiger",,103.0,
Shaft,,"Action, Comedy, Crime",6.4,"
JJ Shaft, a cyber security expert with a degree from MIT, enlists his family's help to uncover the truth behind his best friend's untimely death.","Director:
Tim Story
| 
    Stars:
Samuel L. Jackson, 
Jessie T. Usher, 
Richard Roundtree, 
Regina Hall",,111.0,
Lawrence of Arabia,,"Adventure, Biography, Drama",8.3,"
The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","Director:
David Lean
| 
    Stars:
Peter O'Toole, 
Alec Guinness, 
Anthony Quinn, 
Jack Hawkins",,228.0,
Mars Attacks!,,"Comedy, Sci-Fi",6.3,"
Earth is invaded by Martians with unbeatable weapons and a cruel sense of humor.","Director:
Tim Burton
| 
    Stars:
Jack Nicholson, 
Pierce Brosnan, 
Sarah Jessica Parker, 
Annette Bening",,106.0,
Beauty and the Beast,,"Animation, Family, Fantasy",8.0,"
A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.","Directors:
Gary Trousdale, 
Kirk Wise
| 
    Stars:
Paige O'Hara, 
Robby Benson, 
Jesse Corti, 
Rex Everhart",,84.0,
Finding Dory,,"Animation, Adventure, Comedy",7.3,"
Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.","Directors:
Andrew Stanton, 
Angus MacLane
| 
    Stars:
Ellen DeGeneres, 
Albert Brooks, 
Ed O'Neill, 
Kaitlin Olson",,97.0,
Public Enemies,,"Biography, Crime, Drama",7.0,"
The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson and Pretty Boy Floyd during a booming crime wave in the 1930s.","Director:
Michael Mann
| 
    Stars:
Christian Bale, 
Johnny Depp, 
Christian Stolte, 
Jason Clarke",,140.0,
127 Hours,,"Biography, Drama",7.5,"
A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.","Director:
Danny Boyle
| 
    Stars:
James Franco, 
Amber Tamblyn, 
Kate Mara, 
Sean Bott",,94.0,
Jurassic Park III,,"Action, Adventure, Sci-Fi",5.9,"
A decidedly odd couple with ulterior motives convince Dr. Grant to go to Isla Sorna for a holiday, but their unexpected landing startles the island's new inhabitants.","Director:
Joe Johnston
| 
    Stars:
Sam Neill, 
William H. Macy, 
Téa Leoni, 
Alessandro Nivola",,92.0,
Revenge,,"Action, Horror, Thriller",6.4,"
Never take your mistress on an annual guys' getaway, especially one devoted to hunting - a violent lesson for three wealthy married men.","Director:
Coralie Fargeat
| 
    Stars:
Matilda Anna Ingrid Lutz, 
Kevin Janssens, 
Vincent Colombe, 
Guillaume Bouchède",,108.0,
Total Recall,,"Action, Adventure, Sci-Fi",6.2,"
A factory worker, Douglas Quaid, begins to suspect that he is a spy after visiting Rekall - a company that provides its clients with implanted fake memories of a life they would like to have led - goes wrong and he finds himself on the run.","Director:
Len Wiseman
| 
    Stars:
Colin Farrell, 
Bokeem Woodbine, 
Bryan Cranston, 
Kate Beckinsale",,118.0,
Footloose,,"Drama, Music, Romance",6.6,"
A city teenager moves to a small town where rock music and dancing have been banned, and his rebellious spirit shakes up the populace.","Director:
Herbert Ross
| 
    Stars:
Kevin Bacon, 
Lori Singer, 
John Lithgow, 
Dianne Wiest",,107.0,
Brooklyn,,"Drama, Romance",7.5,"
An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within.","Director:
John Crowley
| 
    Stars:
Saoirse Ronan, 
Emory Cohen, 
Domhnall Gleeson, 
Jim Broadbent",,117.0,
Child's Play,,"Drama, Horror, Sci-Fi",5.7,"
A mother gives her 13-year-old son a toy doll for his birthday, unaware of its more sinister nature.","Director:
Lars Klevberg
| 
    Stars:
Tim Matheson, 
Ben Daon, 
Zahra Anderson, 
Serge Jaswal",,90.0,
The Danish Girl,,"Biography, Drama, Romance",7.1,"
A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.","Director:
Tom Hooper
| 
    Stars:
Eddie Redmayne, 
Alicia Vikander, 
Amber Heard, 
Ben Whishaw",,119.0,
The Bad Batch,,"Action, Horror, Mystery",5.3,"
In a desert dystopia, a young woman is kidnapped by cannibals.","Director:
Ana Lily Amirpour
| 
    Stars:
Suki Waterhouse, 
Jason Momoa, 
Jayda Fink, 
Keanu Reeves",,118.0,
Now You See Me 2,,"Action, Adventure, Comedy",6.5,"
The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet.","Director:
Jon M. Chu
| 
    Stars:
Jesse Eisenberg, 
Mark Ruffalo, 
Woody Harrelson, 
Dave Franco",,129.0,
The Tourist,,"Action, Thriller",6.0,"
Revolves around Frank, an American tourist visiting Italy to mend a broken heart. Elise is an extraordinary woman who deliberately crosses his path.","Director:
Florian Henckel von Donnersmarck
| 
    Stars:
Johnny Depp, 
Angelina Jolie, 
Paul Bettany, 
Timothy Dalton",,103.0,
The Emperor's New Groove,,"Animation, Adventure, Comedy",7.4,"
Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.","Director:
Mark Dindal
| 
    Stars:
David Spade, 
John Goodman, 
Eartha Kitt, 
Patrick Warburton",,78.0,
Deepwater Horizon,,"Action, Drama, History",7.1,"
A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in American history.","Director:
Peter Berg
| 
    Stars:
Mark Wahlberg, 
Kurt Russell, 
Douglas M. Griffin, 
James DuMont",,107.0,
The Dictator,,Comedy,6.4,"
The heroic story of a dictator who risked his life to ensure that democracy would never come to the country he so lovingly oppressed.","Director:
Larry Charles
| 
    Stars:
Sacha Baron Cohen, 
Anna Faris, 
John C. Reilly, 
Ben Kingsley",,83.0,
Green Room,,"Horror, Thriller",7.0,"
A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar.","Director:
Jeremy Saulnier
| 
    Stars:
Anton Yelchin, 
Imogen Poots, 
Alia Shawkat, 
Patrick Stewart",,95.0,
The Post,,Drama,7.2,"
A cover-up spanning four U.S. Presidents pushes the country's first female newspaper publisher and her editor to join an unprecedented battle between press and government.","Director:
Steven Spielberg
| 
    Stars:
Meryl Streep, 
Tom Hanks, 
Sarah Paulson, 
Bob Odenkirk",,116.0,
Spartacus,,"Adventure, Biography, Drama",7.9,"
The slave Spartacus leads a violent revolt against the decadent Roman Republic.","Director:
Stanley Kubrick
| 
    Stars:
Kirk Douglas, 
Laurence Olivier, 
Jean Simmons, 
Charles Laughton",,197.0,
Tonari no Totoro,,"Animation, Family, Fantasy",8.2,"
When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.","Director:
Hayao Miyazaki
| 
    Stars:
Hitoshi Takagi, 
Noriko Hidaka, 
Chika Sakamoto, 
Shigesato Itoi",,86.0,
The Quick and the Dead,,"Action, Romance, Thriller",6.4,"
A female gunfighter returns to a frontier town where a dueling tournament is being held, which she enters in an effort to avenge her father's death.","Director:
Sam Raimi
| 
    Stars:
Sharon Stone, 
Gene Hackman, 
Russell Crowe, 
Leonardo DiCaprio",,107.0,
Knocked Up,,"Comedy, Romance",6.9,"
For fun-loving party animal Ben Stone, the last thing he ever expected was for his one-night stand to show up on his doorstep eight weeks later to tell him she's pregnant with his child.","Director:
Judd Apatow
| 
    Stars:
Seth Rogen, 
Katherine Heigl, 
Paul Rudd, 
Leslie Mann",,129.0,
Fatal Attraction,,"Drama, Thriller",6.9,"
A married man's one-night stand comes back to haunt him when that lover begins to stalk him and his family.","Director:
Adrian Lyne
| 
    Stars:
Michael Douglas, 
Glenn Close, 
Anne Archer, 
Ellen Latzen",,119.0,
Dreamgirls,,"Drama, Music, Musical",6.5,"
A trio of black female soul singers cross over to the pop charts in the early 1960s, facing their own personal struggles along the way.","Director:
Bill Condon
| 
    Stars:
Beyoncé, 
Jamie Foxx, 
Eddie Murphy, 
Danny Glover",,130.0,
Smokin' Aces,,"Action, Comedy, Crime",6.7,"
When a Las Vegas performer-turned-snitch named Buddy Israel decides to turn state's evidence and testify against the mob, it seems that a whole lot of people would like to make sure he's no longer breathing.","Director:
Joe Carnahan
| 
    Stars:
Jeremy Piven, 
Ryan Reynolds, 
Ray Liotta, 
Joseph Ruskin",,109.0,
Serenity,,"Drama, Mystery, Thriller",5.4,"
A fishing boat captain juggles facing his mysterious past and finding himself ensnared in a reality where nothing is what it seems.","Director:
Steven Knight
| 
    Stars:
Matthew McConaughey, 
Anne Hathaway, 
Diane Lane, 
Jason Clarke",,106.0,
Hotel Transylvania 3: Summer Vacation,,"Animation, Adventure, Comedy",6.3,"
Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family.","Director:
Genndy Tartakovsky
| 
    Stars:
Adam Sandler, 
Andy Samberg, 
Selena Gomez, 
Kevin James",,97.0,
Triple 9,,"Action, Crime, Thriller",6.3,"
A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.","Director:
John Hillcoat
| 
    Stars:
Casey Affleck, 
Chiwetel Ejiofor, 
Anthony Mackie, 
Aaron Paul",,115.0,
Easy Rider,,"Adventure, Drama",7.3,"
Two bikers head from L.A. to New Orleans through the open country and desert lands, and along the way they meet a man who bridges a counter-culture gap of which they had been unaware.","Director:
Dennis Hopper
| 
    Stars:
Peter Fonda, 
Dennis Hopper, 
Jack Nicholson, 
Antonio Mendoza",,95.0,
A Walk to Remember,,"Drama, Romance",7.3,"
The story of two North Carolina teens, Landon Carter and Jamie Sullivan, who are thrown together after Landon gets into trouble and is made to do community service.","Director:
Adam Shankman
| 
    Stars:
Mandy Moore, 
Shane West, 
Peter Coyote, 
Daryl Hannah",,101.0,
Lilo & Stitch,,"Animation, Adventure, Comedy",7.3,"
A young and parentless girl adopts a 'dog' from the local pound, completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a menace.","Directors:
Dean DeBlois, 
Chris Sanders
| 
    Stars:
Daveigh Chase, 
Chris Sanders, 
Tia Carrere, 
David Ogden Stiers",,85.0,
Operation Finale,,"Biography, Drama, History",6.6,"
A team of secret agents set out to track down the Nazi officer who masterminded the Holocaust.","Director:
Chris Weitz
| 
    Stars:
Oscar Isaac, 
Ben Kingsley, 
Mélanie Laurent, 
Lior Raz",,122.0,
Locke,,Drama,7.1,"
Ivan Locke, a dedicated family man and successful construction manager, receives a phone call on the eve of the biggest challenge of his career that sets in motion a series of events that threaten his carefully cultivated existence.","Director:
Steven Knight
| 
    Stars:
Tom Hardy, 
Olivia Colman, 
Ruth Wilson, 
Andrew Scott",,85.0,
A Cinderella Story,,"Comedy, Family, Romance",5.9,"
Routinely exploited by her wicked stepmother, the downtrodden Samantha Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance.","Director:
Mark Rosman
| 
    Stars:
Hilary Duff, 
Chad Michael Murray, 
Jennifer Coolidge, 
Dan Byrd",,95.0,
Escape Plan,,"Action, Thriller",6.7,"
When a structural-security authority finds himself set up and incarcerated in the world's most secret and secure prison, he has to use his skills to escape with help from the inside.","Director:
Mikael Håfström
| 
    Stars:
Sylvester Stallone, 
Arnold Schwarzenegger, 
50 Cent, 
Vincent D'Onofrio",,115.0,
Life of Brian,,Comedy,8.1,"
Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.","Director:
Terry Jones
| 
    Stars:
Graham Chapman, 
John Cleese, 
Michael Palin, 
Terry Gilliam",,94.0,
Colombiana,,"Action, Drama, Thriller",6.4,"
A young girl in Bogotá witnesses her parents' murder and grows up to be a stone-cold assassin.","Director:
Olivier Megaton
| 
    Stars:
Zoe Saldana, 
Michael Vartan, 
Callum Blue, 
Jordi Mollà",,108.0,
Resident Evil: The Final Chapter,,"Action, Horror, Sci-Fi",5.5,"
Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.","Director:
Paul W.S. Anderson
| 
    Stars:
Milla Jovovich, 
Iain Glen, 
Ali Larter, 
Shawn Roberts",,107.0,
Dirty Grandpa,,Comedy,5.9,"
Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant Colonel, to Florida for Spring Break.","Director:
Dan Mazer
| 
    Stars:
Robert De Niro, 
Zac Efron, 
Zoey Deutch, 
Aubrey Plaza",,102.0,
Late Night,,"Comedy, Drama",6.5,"
A late night talk show host suspects that she may soon lose her long-running show.","Director:
Nisha Ganatra
| 
    Stars:
Emma Thompson, 
Mindy Kaling, 
John Lithgow, 
Hugh Dancy",,102.0,
The Duff,,"Comedy, Romance",6.5,"
A high school senior instigates a social pecking order revolution after finding out that she has been labeled the DUFF - Designated Ugly Fat Friend - by her prettier, more popular counterparts.","Director:
Ari Sandel
| 
    Stars:
Mae Whitman, 
Bella Thorne, 
Robbie Amell, 
Allison Janney",,101.0,
You're Next,,"Horror, Thriller",6.6,"
When the Davison family comes under attack during their wedding anniversary getaway, the gang of mysterious killers soon learns that one of the victims harbors a secret talent for fighting back.","Director:
Adam Wingard
| 
    Stars:
Sharni Vinson, 
Joe Swanberg, 
AJ Bowen, 
Nicholas Tucci",,95.0,
The Lincoln Lawyer,,"Crime, Drama, Mystery",7.3,"
A lawyer defending a wealthy man begins to believe his client is guilty of more than just one crime.","Director:
Brad Furman
| 
    Stars:
Matthew McConaughey, 
Marisa Tomei, 
Ryan Phillippe, 
William H. Macy",,118.0,
Pixels,,"Action, Comedy, Fantasy",5.5,"
When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games.","Director:
Chris Columbus
| 
    Stars:
Adam Sandler, 
Kevin James, 
Michelle Monaghan, 
Peter Dinklage",,105.0,
The Ten Commandments,,"Adventure, Drama",7.9,"
Moses, an Egyptian Prince, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people.","Director:
Cecil B. DeMille
| 
    Stars:
Charlton Heston, 
Yul Brynner, 
Anne Baxter, 
Edward G. Robinson",,220.0,
Live by Night,,"Action, Crime, Drama",6.4,"
A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan.","Director:
Ben Affleck
| 
    Stars:
Ben Affleck, 
Elle Fanning, 
Brendan Gleeson, 
Chris Messina",,129.0,
Sabotage,,"Action, Crime, Drama",5.7,"
Members of an elite DEA task force find themselves being taken down one by one after they rob a drug cartel safe house.","Director:
David Ayer
| 
    Stars:
Arnold Schwarzenegger, 
Sam Worthington, 
Terrence Howard, 
Olivia Williams",,109.0,
Despicable Me 2,,"Animation, Adventure, Comedy",7.3,"
When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.","Directors:
Pierre Coffin, 
Chris Renaud
| 
    Stars:
Steve Carell, 
Kristen Wiig, 
Benjamin Bratt, 
Miranda Cosgrove",,98.0,
Oz the Great and Powerful,,"Adventure, Family, Fantasy",6.3,"
A small-time magician is swept away to an enchanted land and is forced into a power struggle between three witches.","Director:
Sam Raimi
| 
    Stars:
James Franco, 
Michelle Williams, 
Rachel Weisz, 
Mila Kunis",,130.0,
CHIPS,,"Action, Comedy, Crime",6.0,"
A rookie officer is teamed with a hardened pro at the California Highway Patrol, though the newbie soon learns his partner is really an undercover Fed investigating a heist that may involve some crooked cops.","Director:
Dax Shepard
| 
    Stars:
Michael Peña, 
Dax Shepard, 
Vincent D'Onofrio, 
Rosa Salazar",,100.0,
Taken 3,,"Action, Crime, Thriller",6.0,"
Accused of a ruthless murder he never committed or witnessed, Bryan Mills goes on the run and brings out his particular set of skills to find the true killer and clear his name.","Director:
Olivier Megaton
| 
    Stars:
Liam Neeson, 
Forest Whitaker, 
Maggie Grace, 
Famke Janssen",,108.0,
Out of the Furnace,,"Action, Crime, Drama",6.8,"
When Rodney Baze mysteriously disappears and law enforcement doesn't follow through fast enough, his older brother, Russell, takes matters into his own hands to find justice.","Director:
Scott Cooper
| 
    Stars:
Christian Bale, 
Casey Affleck, 
Zoe Saldana, 
Woody Harrelson",,116.0,
Noah,,"Action, Adventure, Drama",5.7,"
Noah is chosen by God to undertake a momentous mission before an apocalyptic flood cleanses the world.","Director:
Darren Aronofsky
| 
    Stars:
Russell Crowe, 
Jennifer Connelly, 
Anthony Hopkins, 
Emma Watson",,138.0,
Takers,,"Action, Crime, Thriller",6.2,"
A group of bank robbers find their multi-million dollar plan interrupted by a hard-boiled detective.","Director:
John Luessenhop
| 
    Stars:
Chris Brown, 
Hayden Christensen, 
Matt Dillon, 
Michael Ealy",,107.0,
Lord of War,,"Action, Crime, Drama",7.6,"
An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.","Director:
Andrew Niccol
| 
    Stars:
Nicolas Cage, 
Ethan Hawke, 
Jared Leto, 
Bridget Moynahan",,122.0,
Blue Jasmine,,"Comedy, Drama",7.3,"
A New York socialite, deeply troubled and in denial, arrives in San Francisco to impose upon her sister. She looks a million, but isn't bringing money, peace, or love...","Director:
Woody Allen
| 
    Stars:
Cate Blanchett, 
Alec Baldwin, 
Peter Sarsgaard, 
Sally Hawkins",,98.0,
The Expendables 2,,"Action, Adventure, Thriller",6.6,"
Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.","Director:
Simon West
| 
    Stars:
Sylvester Stallone, 
Liam Hemsworth, 
Randy Couture, 
Jean-Claude Van Damme",,103.0,
Conan the Barbarian,,"Action, Adventure, Fantasy",5.2,"
A vengeful barbarian warrior sets off to get his revenge on the evil warlord who attacked his village and murdered his father when he was a boy.","Director:
Marcus Nispel
| 
    Stars:
Jason Momoa, 
Ron Perlman, 
Rose McGowan, 
Stephen Lang",,113.0,
Battle of Britain,,"Action, Drama, History",7.0,"
In 1940, the British Royal Air Force fights a desperate battle to prevent the Luftwaffe from gaining air superiority over the English Channel as a prelude to a possible Axis invasion of the U.K.","Director:
Guy Hamilton
| 
    Stars:
Michael Caine, 
Trevor Howard, 
Harry Andrews, 
Curd Jürgens",,132.0,
Begin Again,,"Comedy, Drama, Music",7.4,"
A chance encounter between a down-and-out music-business executive and a young singer-songwriter, new to Manhattan, turns into a promising collaboration between the two talents.","Director:
John Carney
| 
    Stars:
Keira Knightley, 
Mark Ruffalo, 
Adam Levine, 
Hailee Steinfeld",,104.0,
The Invitation,,"Drama, Mystery, Thriller",6.6,"
A man accepts an invitation to a dinner party hosted by his ex-wife, an unsettling affair that reopens old wounds and creates new tensions.","Director:
Karyn Kusama
| 
    Stars:
Logan Marshall-Green, 
Emayatzy Corinealdi, 
Michiel Huisman, 
Tammy Blanchard",,100.0,
Flashdance,,"Drama, Music, Romance",6.2,"
A Pittsburgh woman with two jobs as a welder and an exotic dancer wants to get into ballet school.","Director:
Adrian Lyne
| 
    Stars:
Jennifer Beals, 
Michael Nouri, 
Lilia Skala, 
Sunny Johnson",,95.0,
Hummingbird,,"Action, Crime, Drama",6.2,"
A damaged ex-special forces soldier navigating London's criminal underworld seizes an opportunity to assume another man's identity.","Director:
Steven Knight
| 
    Stars:
Jason Statham, 
Agata Buzek, 
Vicky McClure, 
Benedict Wong",,100.0,
Paddington 2,,"Animation, Adventure, Comedy",7.8,"
Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen.","Director:
Paul King
| 
    Stars:
Ben Whishaw, 
Hugh Grant, 
Hugh Bonneville, 
Sally Hawkins",,103.0,
Gake no ue no Ponyo,,"Animation, Adventure, Comedy",7.7,"
A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.","Director:
Hayao Miyazaki
| 
    Stars:
Cate Blanchett, 
Matt Damon, 
Liam Neeson, 
Tomoko Yamaguchi",,101.0,
Mechanic: Resurrection,,"Action, Adventure, Crime",5.7,"
Bishop's most formidable foe kidnaps the love of his life in order to make him complete three impossible assassinations and make them look like accidents.","Director:
Dennis Gansel
| 
    Stars:
Jason Statham, 
Jessica Alba, 
Tommy Lee Jones, 
Michelle Yeoh",,98.0,
Scary Movie 5,,Comedy,3.5,"
A couple begin to experience some unusual activity after bringing their lost nieces and nephew home. With the help of home-surveillance cameras, they learn they're being stalked by a nefarious demon.","Directors:
Malcolm D. Lee, 
David Zucker
| 
    Stars:
Simon Rex, 
Ashley Tisdale, 
Charlie Sheen, 
Lindsay Lohan",,88.0,
Kill Me Three Times,,"Action, Comedy, Crime",5.9,"
Professional hit-man Charlie Wolfe finds himself in three tales of murder, blackmail and revenge after a botched contract assignment.","Director:
Kriv Stenders
| 
    Stars:
Simon Pegg, 
Teresa Palmer, 
Alice Braga, 
Luke Hemsworth",,90.0,
Killers,,"Action, Comedy, Romance",5.5,"
A vacationing woman meets her ideal man, leading to a swift marriage. Back at home, however, their idyllic life is upset when they discover their neighbors could be assassins who have been contracted to kill the couple.","Director:
Robert Luketic
| 
    Stars:
Katherine Heigl, 
Ashton Kutcher, 
Tom Selleck, 
Catherine O'Hara",,100.0,
The Lorax,,"Animation, Adventure, Comedy",6.4,"
A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.","Directors:
Chris Renaud, 
Kyle Balda
| 
    Stars:
Zac Efron, 
Taylor Swift, 
Danny DeVito, 
Ed Helms",,86.0,
Alice Through the Looking Glass,,"Adventure, Family, Fantasy",6.2,"
Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.","Director:
James Bobin
| 
    Stars:
Mia Wasikowska, 
Johnny Depp, 
Helena Bonham Carter, 
Anne Hathaway",,113.0,
Macbeth,,"Drama, History, War",6.6,"
Macbeth, the Thane of Glamis, receives a prophecy from a trio of witches that one day he will become King of Scotland. Consumed by ambition and spurred to action by his wife, Macbeth murders his king and takes the throne for himself.","Director:
Justin Kurzel
| 
    Stars:
Michael Fassbender, 
Marion Cotillard, 
Jack Madigan, 
Frank Madigan",,113.0,
The Infiltrator,,"Biography, Crime, Drama",7.0,"
A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar.","Director:
Brad Furman
| 
    Stars:
Bryan Cranston, 
John Leguizamo, 
Diane Kruger, 
Amy Ryan",,127.0,
